*020612  061202:164
090412  041209:82
090425  042509:99
090509  050909:115
090524  052409:59
090531  053109:106
090607  060709:128
*090613  061309:125
090620  062009:143
090711  071109:68
090718  071809:74
090725  072509:157
090801  080109:100
090808  080809:98
090829  082909:97
090905  090509:209
090912  091209:135
*090919  091909:140
090927  092709:120
091010  101009:111
091024  102409:116
091031  103109:93
091114  111409:121
091122  112209:121
091128  112809:186
*091205  120509:101
091219  121909:113
100102  010210:117
100116  011610:50
100130  013010:116
100206  020610:134
100213  021310:132
100306  030610:119
100320  032010:182
*100327  032710:126
100403  040310:88
100410  041010:106
100501  050110:54
100515  051510:142
100529  052910:92
100605  060510:56
100612  061210:117
100619  061910:77
*100703  070310:40
100710  071010:109
100717  071710:54
100724  072410:57
100807  080710:50
100828  082810:59
100904  090410:33
100911  091110:52
*100925  092510:31
101002  100210:105
101009  100910:32
101016  101610:116
101023  102310:122
101106  110610:87
101113  111310:66
101120  112010:64
101127  112710:96
*101204  120410:125
101218  121810:28
110101  010111:92
110108  010811:151
110115  011511:43
110122  012211:144
110205  020511:105
110216  021611:143
*110219  021911:98
110312  031211:58
110320  032011:60
110326  032611:60
110403  040311:76
110409  040911:44
110416  041611:138
110423  042311:147
*110430  043011:126
110507  050711:144
110514  051411:129
110522  052211:111
110604  060411:97
110612  061211:146
*110618  061811:141
110626  062611:112
110709  070911:80
110716  071611:156
110730  073011:123
110806  080611:108
*110820  082011:85
110827  082711:110
110903  090311:83
110917  091711:118
110924  092411:146
111001  100111:118
111015  101511:148
*111023  102311:153
111105  110511:89
111113  111311:130
111126  112611:101
111204  120411:118
*111211  121111:38
*111220  122011:201
120107  010712:139
120122  012212:142
120205  020512:147
120212  021212:147
120218  021812:127
??120324  032412:131
120331  033112:123
120408  040812:196
120415  041512:153
120422  042212:174
*120429  042912:182
120512  051212:128
120520  052012:128
120603  060312:112
120617  061712:53
120722  072212:119
120729  072912:123
120804  080412:127
*120811  081112:106
120818  081812:128
120827  082712:56
120908  090812:49
120916  091612:120
120923  092312:134
120930  093012:162
121008  100812:91
121014  101412:119
121021  102112:64
*121105  110512:52
121112  111212:134
130427  042713:40
130504  050413:46
130511  051113:137
130520  052013:109
130528  052813:116
*130602  060213:41
130609  060913:36
130625  062513:55
130630  063013:48
130707  070713:195
*130714  071413:119
130721  072113:146
130804  080413:94
130811  081113:51
130825  082513:29
130901  090113:45
*130908  090813:56
130915  091513:39
130923  092313:191
131006  100613:125
131015  101513:46
131020  102013:40
131027  102713:47
131103  110313:29
*131124  112413:38
131222  122213:56
131230  123013:51
140106  010614:37
*140114  011414:43
140128  012814:47
140209  020914:48
140224  022414:31
140309  030914:41
140413  041314:160
140616  061614:53
140629  062914:53
*140915  091514:43
150418  041815:64
150425  042515:140
*150503  050315:191
150509  050915:112
150517  051715:171
150607  060715:139
*150614  061415:159
150621  062115:169
150628  062815:112
150705  070515:115
150713  071315:160
150721  072115:122
*150801  080115:103
150823  082315:179
150913  091315:61
151002  100215:46
*151021  102115:59
151101  110115:42
*160703  070316:140
*160716  071616:76
*160802  080216:54
